t,score,shape,power_db,rssi,state
48.016,-0.738,0.368,-0.168,-55.2,0
48.155,-0.821,0.341,-0.064,-55.2,0
48.299,-0.870,0.372,-0.013,-55.0,0
48.421,-0.708,0.401,-0.155,-55.2,0
48.602,-0.659,0.381,-0.139,-55.2,0
48.724,-0.481,0.417,-0.210,-55.2,0
48.906,-0.585,0.440,-0.061,-55.2,0
49.052,-0.732,0.382,-0.006,-55.2,0
49.198,-0.863,0.332,0.020,-55.4,0
49.323,-0.940,0.288,0.066,-55.4,0
49.467,-1.067,0.240,-0.026,-55.4,0
49.623,-1.062,0.267,-0.073,-55.4,0
49.749,-1.053,0.214,-0.101,-55.4,0
49.890,-0.860,0.298,-0.168,-55.3,0
50.068,-0.728,0.322,-0.171,-55.2,0
50.190,-0.669,0.300,-0.172,-55.3,0
50.341,-0.867,0.234,-0.070,-55.3,0
50.463,-1.024,0.204,-0.055,-55.3,0
50.653,-1.140,0.199,-0.039,-55.2,0
50.789,-1.125,0.292,0.019,-55.1,0
50.918,-1.069,0.311,0.055,-55.2,0
51.066,-0.980,0.335,0.083,-55.0,0
51.209,-0.912,0.345,0.090,-55.0,0
51.329,-0.785,0.343,0.144,-55.0,0
51.451,-0.762,0.331,0.124,-55.0,0
51.628,-0.706,0.306,0.156,-55.1,0
51.749,-0.694,0.299,0.148,-55.2,0
51.902,-0.727,0.293,0.130,-55.2,0
52.039,-0.652,0.356,0.154,-55.1,0
52.172,-0.862,0.290,0.006,-55.2,0
52.318,-0.955,0.315,-0.010,-55.3,0
52.441,-1.019,0.301,-0.012,-55.5,0
52.591,-1.028,0.274,-0.081,-55.5,0
52.740,-1.022,0.219,-0.112,-55.7,0
52.889,-0.932,0.256,-0.143,-55.8,0
53.023,-0.974,0.227,-0.103,-56.0,0
53.167,-0.945,0.282,-0.109,-55.9,0
53.308,-0.777,0.476,0.100,-55.9,0
53.429,-0.491,0.542,0.194,-55.9,0
53.551,-0.251,0.555,0.236,-55.7,0
53.699,-0.204,0.546,0.196,-55.7,0
53.821,-0.176,0.566,0.189,-55.5,0
53.971,0.164,0.706,0.311,-55.4,0
54.091,-0.229,0.467,0.035,-55.5,0
54.240,-0.281,0.628,0.028,-55.4,0
54.364,-0.235,0.701,0.025,-55.5,0
54.518,-0.098,0.772,-0.091,-55.5,0
54.690,0.224,0.785,-0.286,-55.6,0
54.841,0.339,0.806,-0.231,-55.6,0
54.962,0.353,0.762,-0.223,-55.6,0
55.114,0.332,0.682,-0.249,-55.8,0
55.246,0.427,0.638,-0.333,-55.8,0
55.384,-0.047,0.445,-0.099,-56.0,0
55.504,-0.397,0.385,-0.070,-56.2,0
55.654,-0.620,0.327,-0.093,-56.5,0
55.799,-0.634,0.382,-0.139,-56.6,0
55.919,-0.625,0.410,-0.134,-56.7,0
56.043,-0.441,0.623,0.110,-56.6,0
56.189,-0.334,0.652,0.089,-56.8,0
56.340,-0.068,0.749,0.191,-56.7,0
56.462,0.005,0.786,0.093,-56.6,0
56.608,0.078,0.848,0.034,-56.2,0
56.789,-0.059,0.595,-0.139,-56.0,0
56.941,-0.228,0.524,-0.118,-56.0,0
57.062,-0.328,0.560,-0.079,-56.1,0
57.189,-0.356,0.555,-0.117,-56.2,0
57.329,-0.460,0.513,0.030,-56.5,0
57.456,-0.524,0.514,-0.040,-56.9,0
57.599,-0.595,0.439,-0.094,-57.3,0
